field,display_name,browse_link,external_link,dc_map,schema_map
title,Title,,,DCTERMS.title,headline
creator,Creator,,,DCTERMS.creator,creator
archivaldate,Date Created,,,DCTERMS.date,dateCreated
description,Description,,,DCTERMS.description,description
subject,Subjects,true,,DCTERMS.subject,keywords
location,Location,true,,,contentLocation
damspace,Location in Relation to Dam,true
damtime,Pre/Post Dam,true,,,
submerged,Submersion,true,,,
latitude,Latitude,,,,
longitude,Longitude,,,,
repository,Source,,,,
type,Type,,,DCTERMS.type,
format,Format,,,,encodingFormat
language,Language,,,DCTERMS.language,
rightsstatement,,,,DCTERMS.rights,license
originaltitle,NAU Title
originalfilename,NAU Filename
itemnumber,Original Item Number
callnumber,Call Number
sourcelink,Link to Original